,amount_3month,max_amount_3month,min_amount_3month,distinct_payment_code_3month,count_payment_code_3month,distinct_trans_group_3month,distinct_ref_no_3month,id,churn,age,sex_FEMALE,sex_MALE,marital_status_Married,marital_status_Other,marital_status_Single
119,5.99e-05,0.00028,9.76e-06,0,0,1,6,207421556,0,29.0,1,0,1,0,0
120,6.55e-05,0.000437078,2.66e-06,2,2,3,23,562307848,1,30.0,0,1,0,0,1
121,5.36e-06,1e-05,5.92e-07,1,8,3,39,1083121786,1,17.0,0,1,0,0,1
122,0.0,0.0,0.0,0,0,1,2,1655278749,1,17.0,1,0,0,0,1
125,3.2e-05,0.0002,5.92e-07,1,5,2,10,221231375,1,30.0,0,1,1,0,0
126,0.0,0.0,0.0,0,0,1,1,1245010443,1,20.0,0,1,0,0,1
128,0.0,0.0,0.0,0,0,1,1,1917836496,1,25.0,0,1,0,0,1
131,9.95e-05,0.0006004,5.92e-07,1,4,3,53,533240846,0,28.0,0,1,1,0,0
133,0.0,0.0,0.0,0,0,1,1,1074710527,1,34.0,0,1,0,0,1
134,0.0,0.0,0.0,0,0,1,1,1387564940,1,25.0,1,0,0,0,1
135,0.000123476,0.000295,1.18e-06,1,9,3,47,1789965598,0,30.0,0,1,1,0,0
139,0.0,0.0,0.0,0,0,1,1,1712549977,1,23.0,1,0,0,0,1
142,1.14e-05,0.00014,2.96e-06,1,2,2,6,175076292,0,22.0,0,1,0,0,1
144,3.08e-05,0.000126,1.18e-06,1,5,3,19,1691598332,1,29.0,0,1,0,0,1
147,6.57e-08,1e-06,2.96e-06,1,1,1,1,1479091209,1,44.0,0,1,1,0,0
149,1.31e-07,2e-06,5.92e-06,0,0,1,1,924527243,1,24.0,0,1,1,0,0
150,8.08e-06,4e-05,5.92e-07,1,2,2,24,18199954,1,23.0,1,0,0,0,1
151,2.11e-05,8e-05,5.92e-07,1,5,2,17,1133755992,0,19.0,1,0,0,0,1
152,2.1e-06,1e-05,1.18e-05,0,0,2,7,546413849,0,33.0,1,0,1,0,0
153,0.0,0.0,0.0,0,0,1,4,1426804182,1,27.0,1,0,0,0,1
155,9.88e-05,0.00034,1.18e-06,1,7,4,33,902982995,0,42.0,1,0,1,0,0
156,2.62e-05,9e-05,5.92e-07,2,12,3,27,1579341395,1,20.0,1,0,0,0,1
157,0.0,0.0,0.0,0,0,1,1,933953567,1,22.0,0,1,0,0,1
159,1.18e-07,6e-07,1.18e-06,1,3,3,7,645256262,0,18.0,0,1,0,0,1
160,0.000101136,0.000323111,1.48e-06,1,1,4,30,312285521,0,30.0,0,1,0,0,1
163,1.31e-08,2e-07,5.92e-07,1,1,1,1,574139810,1,37.0,0,1,0,0,1
165,0.0,0.0,0.0,0,0,1,1,1577174788,1,20.0,0,1,0,0,1
167,2.63e-08,4e-07,1.18e-06,1,1,2,2,834845103,0,22.0,1,0,0,0,1
168,5.74e-05,0.00013,5.92e-06,1,7,2,41,261631867,0,39.0,0,1,1,0,0
172,0.0,0.0,0.0,0,0,1,1,1932022983,1,26.0,0,1,0,0,1
173,7.65e-05,0.0006,8.87e-06,0,0,2,14,3059585,1,34.0,0,1,1,0,0
181,1.74e-05,6e-05,1.18e-06,2,2,2,12,199769754,0,37.0,1,0,1,0,0
183,2.63e-08,4e-07,1.18e-06,1,1,1,1,1463428598,1,21.0,1,0,0,0,1
184,1.33e-05,0.00013,5.92e-06,1,3,2,6,811929685,0,38.0,1,0,1,0,0
185,1.31e-07,1e-06,1.18e-06,1,3,2,4,549575201,0,31.0,0,1,1,0,0
187,0.0,0.0,0.0,0,0,1,1,189435108,1,24.0,0,1,0,0,1
188,0.0,0.0,0.0,0,0,1,1,1652272846,1,22.0,0,1,0,0,1
189,0.0,0.0,0.0,0,0,1,1,1045284735,1,43.0,0,1,0,0,1
190,0.0,0.0,0.0,0,0,1,2,942219327,1,19.0,0,1,0,0,1
191,0.000153073,0.0003,1.18e-06,2,6,3,33,1213850256,0,42.0,1,0,1,0,0
196,9.26e-06,0.000119,5.92e-07,1,5,3,12,498534136,1,24.0,0,1,0,0,1
198,0.0,0.0,0.0,0,0,1,3,1101979410,1,37.0,0,1,0,0,1
199,0.0,0.0,0.0,0,0,1,1,1627890209,1,19.0,0,1,0,0,1
201,1.38e-05,0.0001,5.92e-06,0,0,2,10,460685745,0,36.0,1,0,1,0,0
202,1.26e-05,3e-05,1.3e-06,0,0,3,43,200480119,0,19.0,1,0,0,0,1
203,6.04e-05,0.0001,1.18e-06,1,3,3,30,1885508609,1,28.0,1,0,0,0,1
204,7.18e-05,0.00028,5.92e-07,1,7,3,28,853907023,0,47.0,0,1,1,0,0
205,7.16e-05,0.0001,9.47e-07,0,0,2,40,1869800558,0,29.0,1,0,1,0,0
207,3.79e-05,0.0002,8.28e-06,0,0,2,19,1271779947,0,30.0,0,1,1,0,0
208,0.0,0.0,0.0,0,0,1,1,123800148,1,37.0,1,0,0,0,1
211,1.78e-07,2.7e-06,7.99e-06,0,0,1,1,1552925447,0,32.0,1,0,1,0,0
213,2.63e-07,4e-06,1.18e-05,0,0,2,2,56755094,0,23.0,1,0,0,0,1
214,0.000294663,0.00048,2.96e-06,1,1,3,39,1072236022,1,25.0,0,1,0,0,1
215,0.0,0.0,0.0,0,0,1,1,1359259704,1,20.0,0,1,0,0,1
216,1.87e-06,1.5e-05,5.92e-07,1,7,3,13,1867443093,0,19.0,0,1,0,0,1
221,0.000213419,0.00032,5.92e-07,1,4,2,61,1316381809,0,35.0,0,1,0,0,1
227,2.91e-05,0.0002,1.77e-06,1,6,2,12,1351551930,0,25.0,0,1,0,0,1
233,0.000119857,0.0002,5.32e-06,2,2,3,30,1872699569,0,32.0,0,1,1,0,0
235,0.0,0.0,0.0,0,0,1,1,1196960135,1,27.0,0,1,0,0,1
240,7.81e-05,0.00021372,1.18e-06,1,9,3,44,1260405713,0,33.0,1,0,0,0,1
241,3.08e-05,0.00013,2.96e-06,1,1,3,28,105978766,0,25.0,1,0,0,0,1
244,0.0,0.0,0.0,0,0,1,2,1844803831,1,21.0,0,1,0,0,1
246,6.46e-05,0.0001,5.92e-07,1,1,3,48,1909651782,0,29.0,0,1,0,0,1
247,1.31e-07,2e-06,5.92e-06,0,0,1,1,1442346033,1,20.0,0,1,0,0,1
249,0.000132043,0.0004,1.21e-05,0,0,2,13,1266540103,0,41.0,0,1,1,0,0
251,3.94e-06,1.2e-05,5.92e-06,1,4,3,13,930998201,0,33.0,0,1,1,0,0
252,4.64e-05,0.0003,1.18e-06,1,10,3,26,1230408996,1,41.0,0,1,0,0,1
254,6.11e-05,0.0001,5.92e-06,0,0,2,42,1297618381,0,38.0,0,1,1,0,0
257,0.0,0.0,0.0,0,0,1,6,162567536,1,41.0,0,1,0,0,1
258,0.0,0.0,0.0,0,0,1,1,839051059,1,29.0,0,1,0,0,1
259,0.0,0.0,0.0,0,0,1,1,61145094,1,27.0,0,1,0,0,1
260,7.91e-05,0.00025,1.18e-05,0,0,2,28,378737731,0,35.0,0,1,1,0,0
261,9.47e-07,1.26e-05,5.32e-06,0,0,1,2,709289052,0,32.0,0,1,0,0,1
262,1.92e-05,9.6e-05,1.77e-06,1,1,3,8,1646902859,1,37.0,0,1,0,0,1
263,0.0,0.0,0.0,0,0,1,2,1423778153,1,19.0,0,1,0,0,1
271,5.16e-05,0.00018,2.01e-06,1,2,3,20,1193832650,0,37.0,0,1,1,0,0
273,3.13e-05,0.0001,5.92e-06,0,0,2,25,63483970,0,30.0,0,1,0,0,1
275,0.0,0.0,0.0,0,0,1,1,321309825,1,26.0,0,1,0,0,1
278,1.78e-05,0.00018,5.92e-07,1,3,2,6,359888619,1,29.0,0,1,0,0,1
282,3.94e-05,0.0002,2.37e-06,1,1,3,17,1289064184,0,24.0,1,0,0,0,1
286,9.84e-06,2.82e-05,1.77e-06,1,1,3,19,1259594761,0,23.0,1,0,0,0,1
287,0.0,0.0,0.0,0,0,1,1,650848830,1,24.0,0,1,0,0,1
290,1.78e-06,6e-06,2.96e-06,1,4,3,9,1903545124,1,22.0,0,1,1,0,0
293,0.000271434,0.00056,5.92e-06,0,0,1,42,1515579078,0,25.0,0,1,0,0,1
294,6.3e-05,0.0003824,5.92e-06,1,8,2,14,1396226695,0,35.0,0,1,0,1,0
295,6.7e-05,0.00011,2.96e-06,1,6,5,60,42400005,0,24.0,0,1,0,0,1
296,0.0,0.0,0.0,0,0,1,1,741704580,1,32.0,1,0,1,0,0
297,0.000199876,0.00068,5.92e-06,1,1,3,22,880896663,0,33.0,0,1,0,0,1
299,6.18e-06,2e-05,1.77e-06,1,4,3,18,532406002,0,31.0,1,0,1,0,0
304,6.54e-06,2e-05,2.96e-06,0,0,2,11,189703442,0,22.0,1,0,0,0,1
306,0.0,0.0,0.0,0,0,1,1,1566823828,1,26.0,0,1,0,0,1
310,0.0,0.0,0.0,0,0,1,1,130321416,1,49.0,0,1,0,0,1
311,2.06e-05,4e-05,1.77e-06,1,1,3,23,76861326,0,32.0,0,1,1,0,0
312,1.16e-06,1e-05,5.92e-06,0,0,2,4,1902413444,0,28.0,0,1,0,0,1
313,8.93e-05,0.00034,2.96e-06,0,0,3,23,1455100992,0,27.0,0,1,0,0,1
314,6.9e-06,4e-05,2.96e-06,1,2,3,16,478164183,0,29.0,0,1,0,0,1
316,6.89e-05,0.0002,2.96e-06,1,7,3,31,386399114,0,50.0,0,1,1,0,0
318,3.53e-05,0.00012,2.96e-06,1,7,2,18,1034530648,0,33.0,1,0,0,0,1
320,0.0,0.0,0.0,0,0,1,2,702314848,1,30.0,0,1,0,0,1
321,5.26e-07,6e-06,5.92e-06,1,1,3,3,1825873016,0,26.0,1,0,0,0,1
323,3.29e-06,3.8e-05,5.92e-06,0,0,2,9,2026426,0,33.0,0,1,0,0,1
324,2.44e-05,0.00014,2.19e-06,1,2,3,17,46605798,0,34.0,0,1,0,0,1
325,0.0,0.0,0.0,0,0,1,1,1026957883,1,18.0,1,0,0,0,1
327,0.0,0.0,0.0,0,0,1,4,722882224,1,22.0,0,1,0,0,1
328,3.33e-05,0.00014,1.18e-05,2,6,3,13,312548266,0,37.0,0,1,0,0,1
329,0.000114045,0.0002,1.18e-06,0,0,3,60,1760419661,0,31.0,1,0,1,0,0
332,0.0,0.0,0.0,0,0,1,2,238968522,1,33.0,0,1,0,0,1
333,3.26e-05,8e-05,5.92e-07,2,12,3,27,515903406,0,42.0,0,1,1,0,0
334,9.64e-06,7e-05,1.18e-05,0,0,1,7,1940218639,0,48.0,0,1,1,0,0
336,6.57e-08,1e-06,2.96e-06,0,0,1,1,506431099,1,23.0,0,1,0,0,1
337,0.000142503,0.0006,2.96e-06,1,1,4,31,1558893461,0,32.0,0,1,0,0,1
340,3.97e-05,0.0001,1.18e-06,1,2,4,41,1831066604,0,24.0,1,0,0,0,1
350,0.0,0.0,0.0,0,0,1,1,710351752,1,27.0,0,1,0,0,1
351,0.0,0.0,0.0,0,0,1,1,1375103730,1,22.0,0,1,0,0,1
352,0.000122752,0.0002,5.92e-06,1,1,3,31,1540787550,0,39.0,0,1,1,0,0
354,4.38e-06,3.4e-05,1.77e-06,1,3,3,8,514248049,0,32.0,0,1,1,0,0
355,2.28e-05,0.0002,8.87e-06,0,0,1,10,1013669587,1,25.0,0,1,1,0,0
357,0.0,0.0,0.0,0,0,1,2,903662696,1,22.0,0,1,0,0,1
358,0.00020778,0.00034,2.96e-06,1,6,2,39,1271596010,0,44.0,0,1,1,0,0
360,0.000183348,0.000598,5.92e-07,1,8,3,41,1417524588,0,26.0,0,1,0,0,1
361,0.0,0.0,0.0,0,0,1,2,1915967698,1,32.0,0,1,0,0,1
362,0.0,0.0,0.0,0,0,1,1,848527482,1,29.0,0,1,0,0,1
364,9.81e-06,2.7e-05,1.18e-06,1,7,4,22,157024885,0,31.0,0,1,1,0,0
368,1.4e-05,6e-05,2.15e-06,2,7,5,13,1724621658,0,54.0,0,1,1,0,0
370,1.03e-05,6e-05,5.92e-07,1,3,3,11,1649417981,0,31.0,0,1,0,0,1
371,9.82e-06,4.94e-05,5.92e-07,1,5,3,19,28464218,0,18.0,1,0,0,0,1
372,7.08e-06,4e-05,5.92e-06,0,0,1,7,1767729562,0,29.0,0,1,0,0,1
373,6.57e-08,1e-06,2.96e-06,0,0,1,1,1248534966,1,47.0,1,0,1,0,0
374,0.0,0.0,0.0,0,0,1,1,1374753557,1,39.0,1,0,1,0,0
377,0.0,0.0,0.0,0,0,1,2,1304584562,1,31.0,1,0,0,0,1
379,0.0,0.0,0.0,0,0,1,1,675709935,1,19.0,1,0,0,0,1
381,3.94e-07,2e-06,5.92e-06,1,3,1,3,1751293543,0,38.0,0,1,1,0,0
383,3.45e-05,0.0002,1.18e-06,1,11,4,16,752846514,0,34.0,1,0,0,0,1
386,2.42e-05,5.4e-05,5.92e-07,1,2,3,56,1534012587,0,23.0,0,1,0,0,1
387,1.42e-05,0.0002,5.92e-07,1,5,2,7,1953993796,1,38.0,0,1,1,0,0
388,3.94e-08,6e-07,1.77e-06,1,1,2,3,789506807,1,18.0,1,0,0,0,1
393,1.31e-08,2e-07,5.92e-07,1,1,2,3,357564550,1,23.0,0,1,0,0,1
394,1.92e-05,0.00012,1.18e-06,1,4,4,29,1588303028,0,25.0,1,0,0,0,1
395,3.01e-05,6.2e-05,1.18e-06,2,5,3,25,187519172,0,26.0,0,1,0,0,1
396,9.2e-07,1e-05,1.18e-05,0,0,1,2,122680011,1,23.0,1,0,0,0,1
400,2.32e-05,0.0002,1.18e-05,1,1,2,7,303107280,1,29.0,1,0,0,0,1
401,0.000116144,0.00022,5.92e-07,1,12,3,59,967064162,0,52.0,0,1,1,0,0
402,0.0,0.0,0.0,0,0,1,2,654766212,1,35.0,0,1,1,0,0
403,0.0,0.0,0.0,0,0,1,2,1857802678,1,19.0,0,1,0,0,1
404,0.0,0.0,0.0,0,0,1,1,720637007,1,19.0,0,1,0,0,1
406,0.000127623,0.0006204,1.18e-06,1,4,2,50,1552331299,0,24.0,1,0,1,0,0
408,0.0,0.0,0.0,0,0,1,1,200998938,1,21.0,1,0,0,0,1
409,1.31e-07,2e-06,5.92e-06,0,0,2,2,1680672868,0,27.0,1,0,0,0,1
410,2.17e-05,0.00012,1.18e-06,1,6,3,22,898359870,0,39.0,0,1,0,0,1
412,1.01e-05,6e-05,1.77e-06,1,5,2,8,929188791,0,45.0,0,1,1,0,0
414,0.0,0.0,0.0,0,0,1,2,710838799,1,24.0,0,1,0,0,1
415,0.0,0.0,0.0,0,0,1,1,917006534,1,33.0,0,1,1,0,0
419,2.1e-05,6.64e-05,5.92e-07,1,3,3,29,805917917,0,25.0,1,0,0,0,1
420,0.0,0.0,0.0,0,0,1,1,404701956,1,19.0,0,1,0,0,1
421,0.0,0.0,0.0,0,0,1,2,1688373254,1,30.0,0,1,0,0,1
422,6.24e-05,0.0002,3.55e-06,1,1,3,24,1699318524,0,29.0,0,1,1,0,0
423,3.94e-08,6e-07,1.77e-06,1,1,2,3,225276169,1,18.0,1,0,0,0,1
426,9.99e-05,0.0002,5.92e-07,1,6,3,44,1915877432,0,40.0,0,1,0,0,1
428,0.000315167,0.0005,5.92e-06,0,0,3,56,1961585603,0,30.0,0,1,0,0,1
432,1.65e-05,3.6e-05,1.12e-06,1,1,4,19,477334235,0,18.0,1,0,0,0,1
434,0.0,0.0,0.0,0,0,1,1,1499750434,1,36.0,0,1,0,0,1
436,5.97e-06,3.68e-05,1.18e-05,0,0,3,7,456886033,0,40.0,1,0,0,0,1
439,0.0,0.0,0.0,0,0,1,3,62398533,1,22.0,0,1,0,0,1
441,0.0,0.0,0.0,0,0,1,2,1768746740,1,21.0,0,1,0,0,1
442,0.0,0.0,0.0,0,0,1,2,955070974,1,23.0,0,1,0,0,1
443,0.0,0.0,0.0,0,0,1,1,789912711,1,19.0,0,1,0,0,1
445,3.51e-06,3.6e-05,4.14e-06,0,0,2,18,328757567,1,29.0,0,1,0,0,1
446,0.0,0.0,0.0,0,0,1,1,1789425204,1,20.0,0,1,0,0,1
447,1.31e-08,2e-07,5.92e-07,1,1,2,2,1587997683,1,22.0,1,0,0,0,1
452,0.000171065,0.00026,5.92e-06,1,8,3,37,123464849,0,35.0,0,1,0,1,0
453,3.29e-07,2e-06,2.96e-06,1,4,1,4,1605036786,0,44.0,0,1,0,0,1
454,3.05e-05,0.00013,5.92e-07,1,1,4,13,1413198954,0,23.0,1,0,0,0,1
455,0.000114283,0.000301,2.96e-06,2,4,4,36,322717446,0,24.0,1,0,0,0,1
456,2.23e-06,1.28e-05,2.96e-06,1,1,2,8,663779676,0,18.0,1,0,0,0,1
457,0.0,0.0,0.0,0,0,1,1,848736353,1,38.0,1,0,0,0,1
458,4.8e-05,0.0001,5.92e-07,1,7,3,26,875495392,0,25.0,0,1,0,0,1
463,2.76e-07,2e-06,1.18e-06,1,4,3,6,1196752146,1,20.0,1,0,0,0,1
465,1.51e-05,6e-05,2.19e-06,1,1,2,12,952154665,0,31.0,0,1,0,0,1
468,0.0,0.0,0.0,0,0,1,1,865060503,1,19.0,0,1,0,0,1
469,0.000112677,0.0007,2.96e-06,1,6,2,33,1567935154,0,28.0,0,1,0,0,1
473,2.1e-05,7.8e-05,5.92e-07,1,7,2,18,1484153828,0,38.0,0,1,1,0,0
474,1.39e-05,9.9e-05,5.92e-07,0,0,2,11,790509691,0,52.0,1,0,1,0,0
476,0.00026568,0.00062,1.18e-06,0,0,2,43,1953627919,0,29.0,1,0,0,0,1
479,6.57e-08,1e-06,2.96e-06,1,1,2,2,381873209,0,32.0,0,1,1,0,0
482,2.52e-06,2.08e-05,5.92e-07,1,9,3,14,1476405843,0,20.0,1,0,0,0,1
483,3.94e-08,6e-07,1.77e-06,1,1,2,4,201138045,1,24.0,1,0,0,0,1
484,0.0,0.0,0.0,0,0,1,8,1800507090,1,18.0,0,1,0,0,1
486,1.59e-05,6e-05,5.92e-07,1,11,3,29,202768075,0,40.0,1,0,1,0,0
488,3.69e-05,0.000138,2.96e-06,1,4,3,27,1570605401,0,28.0,0,1,0,0,1
494,2.44e-05,0.0002,1.18e-06,1,6,2,12,364582356,0,42.0,1,0,1,0,0
495,2.65e-05,0.0001,1.18e-05,0,0,1,11,612645291,0,44.0,0,1,1,0,0
496,4.31e-06,6.2e-05,1.06e-05,1,1,2,2,322416968,1,37.0,0,1,1,0,0
497,0.0,0.0,0.0,0,0,1,2,1044508965,1,19.0,1,0,0,0,1
499,0.0,0.0,0.0,0,0,1,1,519878491,1,48.0,1,0,0,0,1
501,7.23e-08,1.1e-06,3.25e-06,0,0,1,1,1850365859,1,22.0,0,1,0,0,1
503,3.55e-06,3e-05,1.18e-05,0,0,2,5,1026328210,0,28.0,0,1,0,0,1
504,1.16e-05,4.24e-05,1.77e-06,0,0,2,12,1355200882,1,20.0,0,1,0,0,1
505,0.0,0.0,0.0,0,0,1,1,1496596242,1,24.0,0,1,0,0,1
509,4.01e-06,6e-05,2.96e-06,0,0,2,3,1861434335,0,33.0,1,0,1,0,0
515,0.0,0.0,0.0,0,0,1,3,1941712027,1,26.0,0,1,0,1,0
519,0.0,0.0,0.0,0,0,1,1,1554065492,1,25.0,0,1,0,0,1
520,2.2e-06,6e-06,1.18e-06,1,6,2,9,264531785,0,26.0,1,0,0,0,1
523,0.0,0.0,0.0,0,0,1,2,1565090567,1,19.0,0,1,0,0,1
524,5.65e-06,8e-05,5.92e-06,0,0,2,4,320108506,1,25.0,0,1,0,0,1
525,0.0,0.0,0.0,0,0,1,1,319215621,1,20.0,1,0,0,0,1
527,9.2e-07,1e-05,1.18e-05,0,0,2,3,1925334354,1,27.0,0,1,1,0,0
528,4.34e-05,0.0001,2.96e-06,1,4,3,18,120664334,0,38.0,0,1,1,0,0
529,9.93e-07,1.26e-05,7.39e-06,0,0,2,3,1811272088,0,19.0,0,1,0,0,1
532,0.0,0.0,0.0,0,0,1,2,717558648,1,27.0,0,1,0,0,1
533,0.000138474,0.0003811,1.18e-06,1,2,3,15,168354486,0,26.0,1,0,0,0,1
535,6.71e-07,1e-05,5.92e-07,0,0,1,2,292120758,0,18.0,0,1,0,0,1
536,1.97e-05,0.0002,1.18e-05,1,1,2,5,1898996444,1,29.0,0,1,0,0,1
539,0.0,0.0,0.0,0,0,1,2,495508808,1,22.0,0,1,0,0,1
540,0.0,0.0,0.0,0,0,1,1,183494364,1,35.0,0,1,0,0,1
541,1.85e-05,4.6e-05,2.96e-06,1,7,2,35,835021821,0,38.0,0,1,0,0,1
542,5.09e-05,0.0002,1.77e-06,1,1,3,11,149593873,0,35.0,0,1,1,0,0
543,6.57e-08,1e-06,2.96e-06,1,1,1,1,1768807798,1,25.0,1,0,1,0,0
